06/05/2019 22:51:00,JPA & LANE ROAD,Traffic - Defective Equipment,42,Hispanic Origin,,Male,Not of Hispanic Origin,White,Male
06/06/2019 21:37:00,JPA & LEE STREET,Expired Sate License Tags,28,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
06/07/2019 18:48:00,EMMET ST S/SPRIGG LN INT,Expired Sate License Tags,35,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
06/08/2019 11:35:00,478 FLOYD DR,Expired State Inspection,40,,White,Male,Not of Hispanic Origin,Black,Male
06/11/2019 19:49:00,BONNYCASTLE DR. & MCCORMICK RD,"DRIVE WITHOUT LICENSE OR REGISTRATION IN
POSSESSION",22,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
06/13/2019 20:28:00,MCCORMICK RD  / ALDERMAN RD,TRAFFIC:IMPROPER LEFT TURN ON RED,50,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
06/20/2019 18:15:00,MASSIE RD @ EMMETT N,SPEED: BUSINESS/RESIDENTL 1-9 OVR LIMIT,,Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
06/20/2019 19:30:00,MASSIE RD @ EMMETT N,SPEED: BUSINESS/RESIDENTL 1-9 OVR LIMIT,49,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
06/20/2019 22:50:00,EMMETT S @ THOMPSON RD,SPEED: BUSINESS/RESIDENTL 1-9 OVR LIMIT,58,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
06/21/2019 21:53:00,UNIVERSITY AVE / RUGBY RD,Obey Trf Lght,36,,White,Male,Not of Hispanic Origin,White,Male
06/25/2019 11:10:00,,"LIC REVOKED: DR W/O LICENSE, 1 OFF",31,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Female
07/02/2019 05:35:00,382 MCCORMICK RD,TRAFFIC:EXPIRED REJECTION STICKER,56,,White,Male,Not of Hispanic Origin,Black,Male
07/03/2019 07:29:00,MCCORMICK RD,"DRIVE WITHOUT LICENSE OR REGISTRATION IN
POSSESSION",29,Not of Hispanic Origin,Black,Female,Not of Hispanic Origin,Black,Male
07/03/2019 20:35:00,LEE ST,Expired Sate License Tags,71,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
07/03/2019 21:03:00,EMMET IVY GARAGE,Expired Sate License Tags,18,,White,Female,Not of Hispanic Origin,White,Male
07/04/2019 00:31:00,WERTLAND / 10TH ST,Traffic - Improper Right Turn on Red,40,,Asian or Pacific Islander,Male,Not of Hispanic Origin,White,Male
07/04/2019 20:45:00,UNIVERSITY AVE & 14TH ST,Obey Trf Lght,33,,White,Male,Not of Hispanic Origin,White,Male
07/05/2019 15:27:00,EMMET ST S,Expired State Inspection,26,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
07/06/2019 07:26:00,LEE ST AT 11TH ST,Traffic - Fail to obey lawfully erected sign,26,,White,Female,Not of Hispanic Origin,Black,Male
07/06/2019 07:26:00,LEE ST AT 11TH ST,TRAFFIC:EXPIRED REJECTION STICKER,26,,White,Female,Not of Hispanic Origin,Black,Male
07/06/2019 08:40:00,OLD IVY / IVY GARDEN APT,Expired State Inspection,28,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
07/06/2019 08:45:00,CRISPELL DR,Traffic - Fail to obey lawfully erected sign,47,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
07/07/2019 12:20:00,1432 JEFFERSON PARK AVE,Expired State Inspection,29,,White,Male,Not of Hispanic Origin,Black,Male
07/09/2019 18:39:00,200 BLOCK MCCORMICK RD,Expired Sate License Tags,36,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
07/09/2019 18:39:00,200 BLOCK MCCORMICK ROAD,TRAFFIC:EXPIRED REJECTION STICKER,36,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
"Ticket Date And 
Time",Ticket Address,Ticket Charge Statute Description,Subject Age,Subject Ethnicity,Subject Race,Subject Sex,Officer Ethnicity,Officer Race,Officer Sex
07/09/2019 19:50:00,W. MAIN ST & 14TH ST,Expired Sate License Tags,21,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
07/09/2019 22:48:00,MCCORMICK RD & ALDERMAN RD,MOPED SAFETY EQUIP VIOL,19,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
07/10/2019 08:12:00,,Traffic - Fail to obey lawfully erected sign,56,,Other,Female,Not of Hispanic Origin,Black,Male
07/10/2019 09:27:00,GRADY AVE,Expired State Inspection,54,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
07/10/2019 22:57:00,1325 W  MAIN ST,Expired Sate License Tags,36,,White,Male,Not of Hispanic Origin,Black,Male
07/11/2019 20:54:00,CULBRETH RD / RUGBY,Traffic - Fail to obey lawfully erected sign,87,,White,Female,Not of Hispanic Origin,Black,Male
07/11/2019 22:51:00,ARLINGTON BLVD AT BUCKLER CDE,Traffic - Fail to obey lawfully erected sign,30,,White,Male,Not of Hispanic Origin,Black,Male
07/13/2019 19:15:00,LEE STREET AT JEFFERSON PARK AVE,TRAFFIC:EXPIRED REJECTION STICKER,44,,White,Female,Not of Hispanic Origin,White,Male
07/14/2019 01:10:00,1400 BLOCK UNIVERSITY AVE,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,43,,White,Female,Not of Hispanic Origin,White,Male
07/14/2019 17:48:00,ALDERMAN/ MINOR RD,Expired Sate License Tags,55,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
07/17/2019 23:51:00,MASSIE RD & ARLINGTON BLVD,Traffic - Fail to obey lawfully erected sign,63,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
07/23/2019 19:25:00,ROOSEVELT BROWN BLVD,Expired Sate License Tags,42,,White,Female,Not of Hispanic Origin,White,Male
07/24/2019 18:03:00,MASSIE RD  / ARLINGTON BLVD,Traffic - Fail to obey lawfully erected sign,27,Unknown,Unknown,Female,Not of Hispanic Origin,Black,Male
07/24/2019 23:59:00,130 CULBRETH RD,Traffic - Fail to obey lawfully erected sign,22,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
07/25/2019 20:44:00,MASSIE RD  / ARLINGTON BLVD,Traffic - Fail to obey lawfully erected sign,19,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
07/26/2019 01:06:00,W MAIN / 11TH NW,LICENSE SUSPENDED FOR UNEXCUSED ABSENCES,17,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
07/26/2019 01:06:00,W MAIN ST / 11TH NW,Obey Trf Lght,17,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
07/28/2019 23:19:00,EMMET SOUTH 100,Expired Sate License Tags,36,,White,Male,Not of Hispanic Origin,White,Male
07/30/2019 11:27:00,600 MCCORMICK RD,Traffic - Fail to obey lawfully erected sign,29,,White,Male,Not of Hispanic Origin,Black,Male
07/30/2019 20:08:00,,Traffic - Fail to obey lawfully erected sign,30,,White,Female,Not of Hispanic Origin,Black,Male
07/31/2019 15:50:00,COPELEY RD,DRIV WO LIC,40,,White,Male,Not of Hispanic Origin,Black,Male
07/31/2019 15:50:00,COPELEY RD,Expired Sate License Tags,40,,White,Male,Not of Hispanic Origin,Black,Male
07/31/2019 23:26:00,UNIVERSITY AVE & 14TH ST,"LIC REVOKED: DR W/O LICENSE, 1 OFF",26,,Black,Male,Not of Hispanic Origin,White,Male
08/01/2019 20:00:00,RUGBY RD/UNIVERSITY CIRCLE,Expired Sate License Tags,22,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
08/02/2019 12:30:00,400 BLK ALDERMAN RD,Expired State Inspection,20,Unknown,White,Male,Not of Hispanic Origin,Black,Male
08/02/2019 17:54:00,"MCCORMICK RD AT OLD RESERVOIR
RD",Traffic - Fail to obey lawfully erected sign,36,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,Black,Male
08/03/2019 02:22:00,MCCORMICK RD AT EDGEMONT,Traffic - Fail to obey lawfully erected sign,24,,Unknown,Male,Not of Hispanic Origin,Black,Male
08/03/2019 04:35:00,"ALDERMAN RD AT GEORGE WELSH
WAY",Expired Sate License Tags,47,,White,Male,Not of Hispanic Origin,Black,Male
08/03/2019 04:35:00,"ALDERMAN RD AT GEORGE
WELSHWAY",Traffic - Fail to obey lawfully erected sign,47,,White,Male,Not of Hispanic Origin,Black,Male
08/03/2019 23:02:00,WHITEHEAD RD  / ALDERMAN RD,Traffic - Fail to obey lawfully erected sign,41,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
08/04/2019 19:11:00,HEREFORD DRIVE / MCCORMICK RD,Traffic - Fail to obey lawfully erected sign,39,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
08/05/2019 22:27:00,100 BLOCK MCCORMICK ROAD,"TRAFFIC:U-TURN W/POOR VISIBILTY-NOT @
INTRSECTN",59,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
08/05/2019 23:15:00,IVY ROAD,TRAFFIC:EXPIRED REJECTION STICKER,24,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
08/10/2019 02:22:00,100 BLOCK CULBRETH RD,DRIV WO LIC,20,Not of Hispanic Origin,Black,Female,Not of Hispanic Origin,White,Male
08/10/2019 02:22:00,100 BLOCK CULBRETH RD,TRAFFIC:EXPIRED REJECTION STICKER,20,Not of Hispanic Origin,Black,Female,Not of Hispanic Origin,White,Male
08/10/2019 03:07:00,1215 LEE ST,DUI - Alcohol/drugs - injury accident,20,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
08/10/2019 19:19:00,1234 WERTLAND,Expired Sate License Tags,28,,White,Male,Not of Hispanic Origin,White,Male
08/10/2019 19:19:00,1234 WERTLAND,TRAFFIC:EXPIRED REJECTION STICKER,28,,White,Male,Not of Hispanic Origin,White,Male
08/11/2019 01:58:00,UNIVERSITY AVE,Traffic - Defective Equipment,30,,White,Female,Not of Hispanic Origin,White,Male
08/11/2019 03:01:00,1400 BLOCK W. MAIN ST,DUI - Alcohol/drugs - injury accident,26,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
08/11/2019 03:01:00,W. MAIN ST & ROSEVELT BROWN,UNLAWFUL SPEED-FAIL TO FORFEIT RIGHT-OF-WAY,26,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
08/12/2019 18:31:00,UNIVERSITY/CULBRETH,"CLEAN ALTERN FUEL STDS: PROCURE REGIST BY
FRAUD",19,Not of Hispanic Origin,,Male,Not of Hispanic Origin,White,Male
08/13/2019 09:51:00,UNIVERSITY AVE AT RUGBY RD,Obey Trf Lght,19,,White,Male,Not of Hispanic Origin,Black,Male
08/13/2019 21:20:00,SOUTH EMMET AT UNIVERSITY AVE,TRAFFIC:EXPIRED REJECTION STICKER,22,,White,Male,Not of Hispanic Origin,Black,Male
08/15/2019 22:25:00,EMMET N // COPELEY RD,RECK DR: PASSING EMERG VEH + REV LIC & DEATH,25,,Asian or Pacific Islander,Female,Not of Hispanic Origin,White,Male
08/16/2019 20:01:00,1210 LEE ST,No Vehicle Registration,20,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
"Ticket Date And 
Time",Ticket Address,Ticket Charge Statute Description,Subject Age,Subject Ethnicity,Subject Race,Subject Sex,Officer Ethnicity,Officer Race,Officer Sex
08/18/2019 16:24:00,WHITEHEAD RD  / ALDERMAN RD,Traffic - Fail to obey lawfully erected sign,58,Unknown,,Male,Not of Hispanic Origin,Black,Male
08/19/2019 22:05:00,UNIVERSITY AVE & 14TH ST,Expired Sate License Tags,20,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
08/19/2019 23:40:00,EMMET ST & IVY ROAD,Expired Sate License Tags,42,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
08/20/2019 18:03:00,COPELEY RD,Expired Sate License Tags,47,,White,Male,Not of Hispanic Origin,White,Male
08/20/2019 18:43:00,WEST MAIN,Expired Sate License Tags,34,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
08/21/2019 03:01:00,1400 BLOCK UNIVERSITY AVE,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,62,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
08/21/2019 08:41:00,HEREFORD DR AT MCCORMICK RD,Traffic - Fail to obey lawfully erected sign,26,,Unknown,Female,Not of Hispanic Origin,Black,Male
08/21/2019 21:34:00,MCCORMICK RD AT EDGEMONT RD,Traffic - Fail to obey lawfully erected sign,19,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
08/22/2019 00:13:00,MCCORMICK RD AT EDGEMONT RD,Traffic - Fail to obey lawfully erected sign,65,,White,Male,Not of Hispanic Origin,Black,Male
08/22/2019 07:35:00,LEE ST AT 11TH ST,Traffic - Fail to obey lawfully erected sign,37,,White,Male,Not of Hispanic Origin,Black,Male
08/22/2019 07:35:00,LEE ST AT 11TH ST,TRAFFIC:EXPIRED REJECTION STICKER,37,,White,Male,Not of Hispanic Origin,Black,Male
08/22/2019 17:34:00,LANE RD  / CRISPELL DR,Traffic - Fail to keep vehicle right of center,53,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
08/22/2019 18:58:00,MCCORMICK ROAD,SPEED: 1-9 OVER LIMIT (55-65 ZONE),21,,White,Female,Not of Hispanic Origin,White,Male
08/22/2019 20:19:00,UNIVERSITY @ MCCORMICK,Traffic - Fail to obey lawfully erected sign,29,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
08/22/2019 20:23:00,LEE ST AT 11TH ST,Traffic - Fail to obey lawfully erected sign,36,,White,Female,Not of Hispanic Origin,Black,Male
08/22/2019 22:36:00,UNIVERSITY AVENUE,SPEED: BUSINESS/RESIDENTL 1-9 OVR LIMIT,21,,White,Male,Not of Hispanic Origin,White,Male
08/23/2019 03:34:00,CRISPELL DR AT 11TH ST,Traffic - Fail to obey lawfully erected sign,36,,White,Male,Not of Hispanic Origin,Black,Male
08/23/2019 21:29:00,LEE ST AT 11TH ST,"TRAFFIC:NO HEADLIGHT W/WIPER,@NIGHT,LOW
VISIBLTY",36,,White,Female,Not of Hispanic Origin,White,Male
08/24/2019 01:30:00,,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,63,,Asian or Pacific Islander,Male,Not of Hispanic Origin,White,Male
08/25/2019 03:06:00,MCCORMICK RD,SPEED: 1-9 MPH OVER LIMIT(TRANS.COMM SET),19,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
08/25/2019 03:21:00,MCCORMICK ROAD,SPEED: 1-9 MPH OVER LIMIT(TRANS.COMM SET),17,,White,Male,Not of Hispanic Origin,White,Male
08/26/2019 00:37:00,MCCORMICK RD,SPEED: 1-9 MPH OVER LIMIT(TRANS.COMM SET),20,,Asian or Pacific Islander,Male,Not of Hispanic Origin,White,Male
08/26/2019 19:11:00,CRISPELL DR & LEE ST,Traffic - Fail to obey lawfully erected sign,25,,White,Male,Not of Hispanic Origin,White,Male
08/27/2019 19:46:00,LEE ST  / 11TH ST SW,Traffic - Fail to obey lawfully erected sign,26,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
08/28/2019 23:18:00,200 BLOCK MCCORMICK RD,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,19,Not of Hispanic Origin,Asian or Pacific Islander,Female,Not of Hispanic Origin,White,Male
08/29/2019 23:30:00,ARLINGTON BLVD /MILLMONT ST,Expired Sate License Tags,51,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
08/29/2019 23:30:00,MASSIE RD / MARLINGTON BLVD,Traffic - Fail to obey lawfully erected sign,51,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
08/30/2019 19:08:00,HEREFORD DR AT MCCORMICK,Traffic - Fail to obey lawfully erected sign,19,,White,Male,Not of Hispanic Origin,Black,Male
08/31/2019 20:48:00,MCCORMICK RD AT HEREFORD DR,Traffic - Fail to obey lawfully erected sign,21,Not of Hispanic Origin,Asian or Pacific Islander,Male,Not of Hispanic Origin,Black,Male
09/03/2019 03:24:00,1400 BLOCK UNIVERSITY AVE,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,24,,White,Male,Not of Hispanic Origin,White,Male
09/03/2019 18:11:00,ARLINGTON BLVD & MASSIE RD,TRAFFIC:EXPIRED REJECTION STICKER,25,,White,Male,Not of Hispanic Origin,White,Male
09/05/2019 03:07:00,ALDERMAN/ PRATT,SPEED: BUSINESS/RESIDENTL 1-9 OVR LIMIT,57,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
09/05/2019 12:31:00,ALDERMAN RD  / TREE HOUSE DR,Traffic - Fail to keep vehicle right of center,20,,White,Male,Not of Hispanic Origin,Black,Male
09/07/2019 18:49:00,567 MCCORMICK RD,"DISABILITY PARKING:ILLEGL PRK-RESERVD 4
DISABLED",20,Not of Hispanic Origin,Asian or Pacific Islander,Female,Not of Hispanic Origin,White,Male
09/07/2019 19:51:00,EMMET S,Expired Sate License Tags,22,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
09/08/2019 20:20:00,EMMET ST @ ARLINGTON,"TRAFFIC:NO HEADLIGHT W/WIPER,@NIGHT,LOW
VISIBLTY",20,Not of Hispanic Origin,Asian or Pacific Islander,Male,Not of Hispanic Origin,White,Male
09/09/2019 01:04:00,291 MCCORMICK RD,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,21,Not of Hispanic Origin,Asian or Pacific Islander,Female,Not of Hispanic Origin,White,Male
09/09/2019 18:53:00,MASSIE RD AT ARLINGTON BLVD,Traffic - Fail to obey lawfully erected sign,25,,White,Male,Not of Hispanic Origin,Black,Male
09/09/2019 19:18:00,ALDERMAN RD & THOMPSON,No Motorcycle helmet,19,,White,Male,Not of Hispanic Origin,White,Male
09/09/2019 19:46:00,MASSIE RD AT ARLINGTON BLVD.,Traffic - Fail to obey lawfully erected sign,52,,White,Male,Not of Hispanic Origin,Black,Male
09/09/2019 21:52:00,130 CULBRETH RD,Traffic - Fail to obey lawfully erected sign,21,,White,Male,Not of Hispanic Origin,Black,Male
09/10/2019 18:15:00,130 CULBRETH RD,Traffic - Fail to obey lawfully erected sign,65,,White,Female,Not of Hispanic Origin,Black,Male
09/10/2019 20:09:00,MASSIE RD AT ARLINGTON BLVD,Traffic - Fail to obey lawfully erected sign,20,,Black,Female,Not of Hispanic Origin,Black,Male
09/10/2019 23:58:00,MASSIE RD AT ARLINGTON BLVD,Traffic - Fail to obey lawfully erected sign,27,,White,Male,Not of Hispanic Origin,Black,Male
09/11/2019 19:21:00,W. MAIN ST & JPA,"LIC REVOKED: DR W/O LICENSE, 1 OFF",38,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
09/11/2019 23:50:00,UNIVERSITY AVE,"TRAFFIC:U-TURN W/POOR VISIBILTY-NOT @
INTRSECTN",43,,,Male,Not of Hispanic Origin,White,Male
"Ticket Date And 
Time",Ticket Address,Ticket Charge Statute Description,Subject Age,Subject Ethnicity,Subject Race,Subject Sex,Officer Ethnicity,Officer Race,Officer Sex
09/12/2019 09:38:00,LEONARD SANDRIDGE RD  / MASSIE RD,Traffic - Fail to obey lawfully erected sign,22,,doc,Male,Not of Hispanic Origin,White,Male
09/13/2019 13:00:00,EDGEMONT/MCORMICK,No Motorcycle helmet,18,,White,Male,Not of Hispanic Origin,White,Male
09/13/2019 23:09:00,EDGEMONT/MCCORMICK,Traffic - Fail to obey lawfully erected sign,18,,Asian or Pacific Islander,Male,Not of Hispanic Origin,White,Male
09/13/2019 23:15:00,EDGEMONT/MCCORMICK,Traffic - Fail to obey lawfully erected sign,18,,White,Male,Not of Hispanic Origin,White,Male
09/14/2019 01:52:00,130 CULBRETH RD,Traffic - Fail to obey lawfully erected sign,58,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
09/14/2019 20:09:00,400 BLK RUGBY RD,Expired Sate License Tags,46,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
09/16/2019 23:00:00,W. MAIN ST & 8TH ST NW,DRIV WO LIC,18,Hispanic Origin,,Male,Not of Hispanic Origin,White,Male
09/16/2019 23:00:00,UNIVERSITY AVE & 14TH ST,"TRAFFIC:NO HEADLIGHT W/WIPER,@NIGHT,LOW
VISIBLTY",18,Hispanic Origin,,Male,Not of Hispanic Origin,White,Male
09/18/2019 20:00:00,HEREFORD DRIVE AT MCCORMICK RD,Traffic - Fail to obey lawfully erected sign,28,,White,Male,Not of Hispanic Origin,Black,Male
09/18/2019 22:27:00,MCCORMICK RD AT EDGEMONT RD,Traffic - Fail to obey lawfully erected sign,19,,White,Male,Not of Hispanic Origin,Black,Male
09/18/2019 22:27:00,MCCORMICK RD : EDGEMONT RD,Expired Sate License Tags,19,,White,Male,Not of Hispanic Origin,Black,Male
09/19/2019 13:51:00,MASSIE RD  / ARLINGTON BLVD,Traffic - Fail to obey lawfully erected sign,,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
09/20/2019 02:00:00,SOUTH EMMET @ ALUMNI HALL,"DRIVE WITHOUT LICENSE OR REGISTRATION IN
POSSESSION",19,,White,Male,Not of Hispanic Origin,White,Male
09/20/2019 19:00:00,MCCORMICK RD,SPEED: 1-9 MPH OVER LIMIT(TRANS.COMM SET),19,Unknown,Unknown,Female,Not of Hispanic Origin,White,Male
09/20/2019 19:30:00,MCCORMICK,SPEED: 1-9 MPH OVER LIMIT(TRANS.COMM SET),30,Unknown,Unknown,Male,Not of Hispanic Origin,White,Male
09/20/2019 20:35:00,MCCORMICK RD,SPEED: 1-9 MPH OVER LIMIT(TRANS.COMM SET),20,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
09/21/2019 01:56:00,1400 BLOCK UNIVERSITY AVE,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,26,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
09/22/2019 20:00:00,MCCORMICK RD,SPEED: 1-9 MPH OVER LIMIT(TRANS.COMM SET),21,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
09/22/2019 20:36:00,MCCORMICK RD,SPEED: 1-9 MPH OVER LIMIT(TRANS.COMM SET),19,Not of Hispanic Origin,Asian or Pacific Islander,Male,Not of Hispanic Origin,White,Male
09/22/2019 22:20:00,MCCORMICK RD,Expired Sate License Tags,34,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,White,Male
09/25/2019 19:03:00,MCCORMICK RD,Expired Sate License Tags,21,,White,Male,Not of Hispanic Origin,White,Male
09/25/2019 22:17:00,200 BL MCCORMICK ROAD,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,19,,Asian or Pacific Islander,Male,Not of Hispanic Origin,White,Male
09/26/2019 18:25:00,ALDERMAN,TRAFFIC:EXPIRED REJECTION STICKER,31,,White,Female,Not of Hispanic Origin,White,Male
09/26/2019 18:36:00,MCCORMICK RD & ALDERMAN,TRAFFIC:EXPIRED REJECTION STICKER,25,,White,Female,Not of Hispanic Origin,White,Male
09/28/2019 00:23:00,EMMET S/ IVY,"LIC REVOKED: DR W/O LICENSE, 1 OFF",22,,Asian or Pacific Islander,Female,Not of Hispanic Origin,White,Male
09/28/2019 00:23:00,EMMET S/ IVY,Obey Trf Lght,22,,Asian or Pacific Islander,Female,Not of Hispanic Origin,White,Male
09/28/2019 18:55:00,LEE ST AT 11TH ST,Traffic - Fail to obey lawfully erected sign,38,Unknown,Unknown,Male,Not of Hispanic Origin,Black,Male
09/29/2019 00:49:00,MCCORMICK RD  / ALDERMAN RD,"DRIVE WITHOUT LICENSE OR REGISTRATION IN
POSSESSION",18,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
09/29/2019 00:49:00,MCCORMICK RD  / ALDERMAN RD,Traffic - Improper Right Turn on Red,18,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
09/29/2019 18:06:00,MCCORMICK RD AT ALDERMAN RD,TRAFFIC:EXPIRED REJECTION STICKER,17,,White,Male,Not of Hispanic Origin,Black,Male
10/01/2019 22:51:00,JPA,Expired Sate License Tags,32,Not of Hispanic Origin,Black,Female,Not of Hispanic Origin,White,Male
10/01/2019 23:19:00,UNIVERSITY AVE,Traffic - Fail to obey lawfully erected sign,19,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
10/02/2019 17:39:00,MCCORMICK RD  / CABELL DR,TRAFFIC:EXPIRED REJECTION STICKER,26,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
10/03/2019 00:00:00,160 MCCORMICK RD,TRAFFIC:STOP ON HIGHWAY WHERE DANGEROUS,56,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,Black,Male
10/03/2019 08:25:00,UNIVERSITY AVE @ EMMET ST S,No Vehicle Registration,27,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
10/03/2019 21:46:00,MCCORMICK/ BONNY CASTLE,SPEED: 1-9 MPH OVER LIMIT(TRANS.COMM SET),21,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
10/04/2019 01:35:00,MCCORMICK/ BONNY CASTLE,SPEED: 1-9 MPH OVER LIMIT(TRANS.COMM SET),19,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
10/04/2019 21:55:00,MASSIE/LEONARD SANDRIDGE INT,SPEED: BUSINESS/RESIDENTL 1-9 OVR LIMIT,51,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
10/05/2019 20:00:00,MCCORMICK AND UNIVERSITY,TRAFFIC:IMPROPER LEFT TURN ON RED,19,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
10/06/2019 19:00:00,WEST MAIN ST.,Expired Sate License Tags,22,,Black,Male,Not of Hispanic Origin,White,Male
10/07/2019 20:00:00,MCCORMICK,SPEED: 1-9 OVER LIMIT (55-65 ZONE),19,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
10/07/2019 22:42:00,MONROE AVE @ BOND HOUSE,Traffic - Fail to obey lawfully erected sign,19,,Black,Male,Not of Hispanic Origin,White,Male
10/08/2019 10:01:00,ALDERMAN/THOMPSON,Expired State Inspection,48,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,Black,Male
10/08/2019 19:04:00,MASSIE/ARLINTON BLVD,Traffic - Fail to obey lawfully erected sign,21,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,Black,Male
10/08/2019 20:08:00,ALDERMAN/ PRATT,SPEED: BUSINESS/RESIDENTL 1-9 OVR LIMIT,23,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,White,Male
"Ticket Date And 
Time",Ticket Address,Ticket Charge Statute Description,Subject Age,Subject Ethnicity,Subject Race,Subject Sex,Officer Ethnicity,Officer Race,Officer Sex
10/08/2019 20:59:00,ARLINGTON/MASSIE,Traffic - Fail to obey lawfully erected sign,54,Not of Hispanic Origin,White,Female,Not of Hispanic Origin,Black,Male
10/09/2019 01:26:00,130 CULBRETH RD,Traffic - Fail to obey lawfully erected sign,21,Not of Hispanic Origin,Black,Male,Not of Hispanic Origin,Black,Male
10/09/2019 22:31:00,IVY & ALDERMAN RD,TRAFFIC:EXPIRED REJECTION STICKER,33,Not of Hispanic Origin,White,Male,Not of Hispanic Origin,White,Male
10/10/2019 20:50:00,IVY/CRESAP,Expired Sate License Tags,69,,White,Male,Not of Hispanic Origin,White,Male
