SFTYPE,OFFENSE,RACE,lat,lon,beatnumdot,Year,Month,BEAT_NO
NA,NA,W,38.02179971040792,-78.49538065180286,21,2020,03,3
NA,NA,B,38.02475523416306,-78.4948311794026,21,2020,04,4
NA,NA,B,38.02224607676895,-78.49577869788553,21,2020,04,4
NA,NA,B,38.02023809123875,-78.50616980369922,22,2020,04,4
NA,NA,B,38.021372537953695,-78.50950444370646,22,2020,04,4
NA,NA,B,38.01900064593487,-78.50045023168795,22,2020,04,4
NA,NA,B,38.017870946848646,-78.5030271881262,22,2020,04,4
NA,NA,B,38.023064889539775,-78.50456791540034,22,2020,03,4
NA,NA,B,38.0188848372678,-78.5068159098362,22,2020,03,4
NA,NA,B,38.020242372326784,-78.5173020879445,23,2020,03,4
NA,NA,W,38.02021794044504,-78.51586135755927,23,2020,02,4
NA,NA,B,38.02144659738395,-78.51301023636509,23,2020,04,5
NA,NA,B,38.02272730925165,-78.5139142678004,23,2020,02,5
NA,NA,B,38.02577733561968,-78.5071402063497,23,2020,02,5
NA,NA,B,38.01722890418633,-78.51748178732134,23,2020,02,5
NA,NA,B,38.019380319071686,-78.51894039569017,23,2020,02,5
NA,NA,B,38.0139653870738,-78.51271912458742,23,2020,01,5
NA,NA,W,38.021009788285006,-78.51095156682081,23,2020,02,5
NA,NA,W,38.013625281165105,-78.50955946446426,23,2020,01,5
NA,NA,B,38.02288150313639,-78.51920428510007,23,2020,04,6
NA,NA,B,38.01850132934149,-78.51667744517293,23,2020,04,6
NA,NA,B,38.020034083543955,-78.52055126075645,23,2020,04,6
NA,NA,W,38.01885275186757,-78.51166728554527,23,2020,04,6
NA,NA,W,38.02621833310741,-78.50450884107903,23,2020,01,7
NA,NA,B,38.0416842845833,-78.50792793126679,24,2020,04,8
NA,NA,B,38.04294663276797,-78.50958332957637,24,2020,03,8
NA,NA,W,38.03857464662845,-78.51312116945076,24,2020,04,8
NA,NA,B,38.05631191999063,-78.50387815780954,25,2020,04,10
NA,NA,B,38.05192474497573,-78.5045178534033,25,2020,04,10
NA,NA,B,38.04980179034338,-78.50688523043345,25,2020,04,10
NA,NA,B,38.05418360222593,-78.50317999032909,25,2020,02,10
NA,NA,B,38.046039695653484,-78.50482383829656,25,2020,01,10
NA,NA,B,38.049030422337935,-78.50691213295835,25,2020,01,10
NA,NA,B,38.05535205943734,-78.50099045751013,25,2020,03,10
NA,NA,B,38.05316850379022,-78.50173388159395,25,2020,03,10
NA,NA,B,38.05522564096876,-78.50258349752029,25,2020,03,10
NA,NA,B,38.048449765559084,-78.50514111583553,25,2020,03,10
NA,NA,B,38.05409972367005,-78.504122574949207,25,2020,03,10
NA,NA,B,38.05172495248524,-78.50161949963943,26,2020,03,10
NA,NA,B,38.05251261687093,-78.49989112479086,26,2020,03,10
NA,NA,B,38.05167060071602,-78.50157160575262,26,2020,03,10
NA,NA,W,38.05309027956441,-78.50079127536964,26,2020,02,10
NA,NA,W,38.04934917101138,-78.50418234799359,26,2020,02,10
NA,NA,W,38.052003773078695,-78.50215470492053,26,2020,02,10
NA,NA,W,38.05152102893626,-78.50158961432012,26,2020,01,10
NA,NA,W,38.04890514914895,-78.50365748209292,26,2020,01,10
NA,NA,W,38.049476681901034,-78.50417956608025,26,2020,03,10
NA,NA,B,38.0526712552197,-78.50071983787693,26,2020,04,11
